name;calories;fat;carbohydrate;protein
Corazon de vaca, crudo;104.45;4.0;17.0;0.0
Corazón, de cerdo, crudo;114.48;4.4;17.3;1.3
Corazón, de vaca/buey, cocido;163.46;5.6654;27.9;0.0
Corazón, de vaca/buey, crudo;104.04;3.95437;17.0;0.0
Cordero lechal, costillar, asado;233.71;16.49;21.63;0.0
Cordero lechal, costillar, crudo;191.2;13.14;18.46;0.0
Cordero lechal, espalda, cruda;188.72;12.4;19.46;0.0
Cordero lechal, pierna, cruda;186.92;12.32;19.19;0.0
Cordero ligero, costillar, asado;272.81;20.93;21.59;0.0
Cordero ligero, costillar, crudo;233.37;18.46;17.26;0.0
Cordero ligero, espalda, cruda;200.22;14.55;17.61;0.0
Cordero ligero, pierna, cruda;183.68;12.05;18.98;0.0
Cordero, costilla, crudo;241.13;20.1;15.6;0.0
Cordero, parte sin especificar;352.56;32.7;15.6;0.0
Cordero, pierna, con grasa, asada;221.75;13.5887;25.0;0.0
Corteza de trigo;481.9;25.8;10.26;52.19
Crema catalana;103.58;2.9;3.7;15.48
Crema de almendras;377.99;13.2;4.6;59.7
Crema de cacahuete;599.6;50.9414;25.5;11.2
Crema de chocolate con avellanas;541.38;33.0;5.4;56.02
Crema de chocolate y nata;86.14;3.4;3.9;9.9
Crema de chocolate, baja en calorías;74.86;3.4;3.6;13.9
Crema de coco;124.02;3.5;2.9;19.1
Crema de vainilla y mousse de chocolate;130.88;6.5;4.0;22.5
Crema inglesa;123.1;5.92593;5.5;11.9
Crema pastelera;157.96;5.36508;4.9;22.3
Cremoso san millan;260.49;25.0;6.7;3.0
Croissant;406.05;17.2;7.5;55.0
Croissant de chocolate;478.56;15.2;5.6;79.1
Croquetas de pollo;153.54;5.32;5.78;20.43
Cuajada;86.66;4.7;4.5;6.6
Cubata;108.88;0.0;0.0;7.35
Cubito de caldo;249.47;18.7;15.7;5.0
Curry;437.38;15.0;15.0;60.0
Dátil;286.81;0.5;2.5;67.0
Donut;393.52;22.4;6.1;42.0
Donut, de chocolate;452.2;25.25;4.93;51.33
Dorada, cruda;77.92;7.22;17.0;0.0
Dorada, plancha;92.95;2.7;17.0;0.0
Empanada de carne;297.97;18.11;21.91;12.01
Empanadilla;246.56;12.03;4.76;29.74
Endibia;9.08;0.2;1.1;0.7
Eneldo, seco;291.23;4.4;19.9;42.2
Ensaimada;455.98;31.3;5.7;38.4
Ensalada;19.13;0.28;1.11;2.99
Ensaladilla rusa;109.7;6.68;2.7;9.76
Escarola;12.33;0.2;1.6;1.0
Espárrago, verde;25.22;0.6;2.9;2.0
Esparragos blancos en conserva;24.19;0.3;1.9;3.4
Espinaca, en conserva;14.59;0.4;2.2;0.52
Espinaca, hervida;21.93;0.49;2.39;1.94
Espinaca, picada, congelada, cruda;22.16;0.8;2.7125;1.0
Fabada;157.15;8.82;6.06;13.42
Faneca, cruda;75.48;1.0;15.4;1.0
Flamenquín;229.69;15.13;19.2;4.4
Flan de huevo;132.46;3.4;4.8;20.4
Flan de huevo, bajo en calorías;76.48;2.4;5.7;7.9
Fletan, crudo;84.64;1.3;17.501;0.5
Foie gras;441.92;44.0;10.0;3.0
Frambuesa, cruda;37.96;0.525;1.2;7.0
Fresa;35.71;0.5;0.7;7.0
Fritos de maíz;563.97;37.31;6.6;51.0
Fructosa;406.31;0.0;0.0;100.0
Frutos secos;563.26;51.45;1.3;25.35
Fuet;472.99;42.0;19.5;5.5
Galleta ,tipo "digestiva", con chocolate;510.95;24.1;6.8;66.5
Galleta salada;407.79;10.0;9.4;69.2
Galleta, barquillo, con jalea de frutas;367.69;5.64854;5.2;73.0
Galleta, cubierta de chocolate;541.09;27.6;5.7;67.4
Galleta, genérico;481.28;21.77;6.76;64.31
Galleta, tipo "Digestiva";466.48;20.8159;6.3;63.2039
Galletas integrales;402.41;21.2;10.0;42.9
Galletas saladas, con queso;479.62;26.2552;11.8;49.1
Galletas tipo maria;477.12;19.0;7.076;69.0
Galletas, con chocolate, tipo "cookies";489.13;22.92;6.2;64.3
Galletas, de mantequilla;481.6;20.0;7.0;68.0
Gallina, entera, cruda;230.35;18.1;17.3;0.0
Gallo;81.0;1.9;15.8;0.0
Gamba quisquilla, congelada;74.62;0.857143;16.5;0.0
Gamba roja, cruda;89.18;1.81429;18.0;0.0
Gamba, hervida;95.49;1.71;19.78;0.0
Garbanzo, en conserva;31.76;2.9;7.2;14.12
Garbanzo, hervido;358.65;2.5;8.9;18.7
Garbanzo, seco, crudo;334.24;6.3;19.305;49.2463
Gazpacho;33.7;2.8;0.6;1.6
Gelatina;342.93;0.0;84.4;0.0
Germen de trigo;335.14;11.1111;25.0;33.3
Ginebra;219.02;0.0;0.0;0.0
Gofio;397.24;2.48;10.8;81.57
Gomasio;88.6;8.7;2.73;0.14
Gominola, genérica;266.49;0.02;4.63;69.95
Granada;62.38;0.3;1.0;13.7
Grasa de pollo;882.55;99.8;0.0;0.0
Grelo;11.38;0.2;2.7;0.1
Grosella negra, cruda;35.76;0.1;1.48;7.10333
Grosella, cruda;26.55;0.2;1.1;5.0
Guayaba, enlatada en almíbar;65.42;0.0;0.4;15.7
Guayaba, sin piel, cruda;56.99;0.6;0.82;11.9
Guindilla, en polvo;303.84;14.28;12.0;31.7
Guindilla, picante;44.55;1.1;1.87;6.7
Guisante, congelado, crudo;62.12;0.5;5.4;8.8
Guisante, congelado, hervido;60.35;0.9;6.0;6.89409
Guisante, seco, crudo;335.64;2.3;21.6;56.0
Guisantes en conserva;66.59;0.5;5.6;9.7
Gusanito;475.64;26.2;9.139;50.9
Haba, fresca;57.17;0.4;4.6;8.6
Haba, frita;57.17;0.4;4.6;8.6
Haba, seca;356.19;1.5;26.1;58.3
Haba, seca, remojada, hervida;58.13;0.6;5.8;7.2
Harina de avena;351.98;6.4;15.0;57.7
Harina de avena, cocida en agua;46.15;0.9;1.4;8.0
Harina de cebada;359.51;1.6;10.5;74.5
Harina de centeno;357.62;1.8;8.2;75.9
Harina de maíz;328.0;2.82;8.29;66.3
Harina de soja;409.98;23.25;37.3;13.0
Harina de trigo;331.14;0.0;10.0;71.5
Harina de trigo, integral;320.36;2.18056;11.5;62.6
Helado de chocolate;227.29;11.0;3.8;28.2
Helado de fresa;199.43;8.4;3.2;27.6
Helado de nata;210.49;10.8;3.9;24.4
Higado de pollo, crudo;136.31;4.7;22.12;1.2
Hígado, de cerdo, crudo;119.67;3.7;21.4;0.0
Hígado, de vaca/buey, crudo;135.52;4.02159;21.1;3.5
Higos y brevas;69.89;0.0;1.2;16.0
Hinojo;3.35;0.0;1.1;2.3
